Area,Perimeter,Major_Axis_Length,Minor_Axis_Lenght,Eccentricity,Convex_Area,Extent,Class
15231,525.5789795,229.7498779,85.09378815,0.928882003,15617,0.572895527,Cammeo
14656,494.3110046,206.0200653,91.73097229,0.895404994,15072,0.615436316,Cammeo
14634,501.1220093,214.106781,87.76828766,0.912118077,14954,0.693258822,Cammeo
13176,458.3429871,193.3373871,87.44839478,0.891860902,13368,0.640669048,Cammeo
14688,507.1669922,211.7433777,89.31245422,0.906690896,15262,0.646023929,Cammeo
13479,477.0159912,200.0530548,86.65029144,0.901328325,13786,0.657897294,Cammeo
15757,509.2810059,207.2966766,98.33613586,0.88032347,16150,0.58970809,Cammeo
16405,526.5700073,221.6125183,95.43670654,0.902520597,16837,0.65888828,Cammeo
14534,483.6409912,196.6508179,95.05068207,0.875428557,14932,0.649651349,Cammeo
13485,471.5700073,198.272644,87.72728729,0.896789312,13734,0.572319865,Cammeo
14930,499.9249878,212.2458191,90.01747894,0.905606449,15248,0.624372721,Cammeo
14626,496.5859985,204.5341339,92.97486877,0.890711546,15070,0.57021445,Cammeo
15926,522.7399902,225.7360535,91.05709076,0.915033162,16240,0.779768884,Cammeo
14076,479.677002,199.489151,90.70998383,0.890638888,14434,0.781218767,Cammeo
13500,476.9150085,202.5466766,85.4054718,0.906754851,13800,0.717703342,Cammeo
14349,496.9460144,213.5440216,86.16077423,0.914988399,14678,0.666837096,Cammeo
15209,496.5650024,214.0500793,91.02632141,0.90507257,15395,0.569369555,Cammeo
15238,496.8710022,208.5317841,93.82839966,0.893054903,15487,0.732314467,Cammeo
13509,480.4660034,207.1371613,83.94016266,0.914210558,13732,0.595634937,Cammeo
13699,480.7290039,197.9709167,89.94907379,0.890820742,14178,0.672046721,Cammeo
13921,481.9930115,203.44487,88.12581635,0.901313186,14210,0.561330616,Cammeo
14405,488.2369995,204.43013,90.62645721,0.896367073,14742,0.763785779,Cammeo
13377,472.9609985,199.9407806,86.68286896,0.901133001,13685,0.79483068,Cammeo
15043,498.2990112,206.0117035,94.76668549,0.887915671,15414,0.586883605,Cammeo
14590,496.1719971,212.1007538,88.60240936,0.908567846,14883,0.571484506,Cammeo
13237,466.0029907,197.9048004,85.70957184,0.90135318,13445,0.592418551,Cammeo
16226,524.2050171,216.8732605,96.65367889,0.895197868,16748,0.648624897,Cammeo
13203,469.4660034,199.3418579,85.38957214,0.903609395,13431,0.601558208,Cammeo
13328,473.0440063,201.3988647,85.25860596,0.905974567,13588,0.780099511,Cammeo
